plot,mussel.number,trtmnt,mussel.length,loose,drilled,complete
A04,1,LOM,52.84,TRUE,TRUE,TRUE
A04,1,LOM,,TRUE,TRUE,TRUE
A04,2,LOM,63.31,TRUE,TRUE,TRUE
A04,2,LOM,,TRUE,TRUE,TRUE
A04,3,LOM,64.08,TRUE,TRUE,TRUE
A04,4,LOM,62.58,TRUE,TRUE,TRUE
A04,5,LOM,,TRUE,TRUE,TRUE
A04,6,LOM,60.51,TRUE,TRUE,TRUE
A04,7,LOM,56.04,TRUE,TRUE,TRUE
A04,7,LOM,,TRUE,TRUE,TRUE
A04,7,LOM,,TRUE,TRUE,TRUE
A04,8,LOM,11.85,TRUE,TRUE,TRUE
A04,9,LOM,24.39,TRUE,TRUE,TRUE
A05,10,SOB,70.85,TRUE,TRUE,TRUE
A05,10,SOB,,TRUE,TRUE,TRUE
A05,10,SOB,,TRUE,TRUE,TRUE
A05,10,SOB,,TRUE,TRUE,TRUE
A05,11,SOB,66.35,TRUE,TRUE,TRUE
A05,11,SOB,,TRUE,TRUE,TRUE
A05,11,SOB,,TRUE,TRUE,TRUE
A05,11,SOB,,TRUE,TRUE,TRUE
A05,12,SOB,63.88,TRUE,TRUE,TRUE
A05,12,SOB,,TRUE,TRUE,TRUE
A05,12,SOB,,TRUE,TRUE,TRUE
A05,12,SOB,,TRUE,TRUE,TRUE
A05,13,SOB,22.71,TRUE,TRUE,TRUE
A05,14,SOB,28.16,TRUE,TRUE,TRUE
A05,15,SOB,23.29,TRUE,TRUE,TRUE
A05,15,SOB,,TRUE,TRUE,TRUE
A05,16,SOB,51.85,TRUE,TRUE,TRUE
A05,17,SOB,64.47,TRUE,TRUE,TRUE
A05,18,SOB,49.61,TRUE,TRUE,TRUE
A05,18,SOB,,TRUE,TRUE,TRUE
A06,19,HOP,39.03,TRUE,FALSE,FALSE
A04,20,LOM,63.86,TRUE,FALSE,FALSE
A04,20,LOM,,TRUE,FALSE,FALSE
A04,21,LOM,64.14,TRUE,FALSE,FALSE
A04,22,LOM,57,TRUE,FALSE,FALSE
A04,22,LOM,,TRUE,FALSE,FALSE
A04,22,LOM,,TRUE,FALSE,FALSE
A04,23,LOM,62.06,TRUE,FALSE,FALSE
A04,24,LOM,24.15,TRUE,FALSE,FALSE
A04,25,LOM,55.59,TRUE,FALSE,FALSE
A04,25,LOM,,TRUE,FALSE,FALSE
A04,25,LOM,,TRUE,FALSE,FALSE
A04,26,LOM,53.01,TRUE,FALSE,FALSE
A04,26,LOM,,TRUE,FALSE,FALSE
A04,27,LOM,11.84,TRUE,FALSE,FALSE
A05,28,SOB,65,TRUE,FALSE,FALSE
A05,29,SOB,29.29,TRUE,FALSE,FALSE
A05,30,SOB,50.95,TRUE,FALSE,FALSE
A05,30,SOB,,TRUE,FALSE,FALSE
A05,31,SOB,66.04,TRUE,FALSE,FALSE
A05,31,SOB,,TRUE,FALSE,FALSE
A05,31,SOB,,TRUE,FALSE,FALSE
A05,32,SOB,64.91,TRUE,FALSE,FALSE
A05,33,SOB,70.03,TRUE,FALSE,FALSE
A05,33,SOB,,TRUE,FALSE,FALSE
A05,33,SOB,,TRUE,FALSE,FALSE
A07,1,LOM,79.49,TRUE,TRUE,TRUE
A07,1,LOM,,TRUE,TRUE,TRUE
A07,1,LOM,,TRUE,TRUE,TRUE
A07,1,LOM,,TRUE,TRUE,TRUE
A07,1,LOM,,TRUE,TRUE,TRUE
A07,2,LOM,71.15,TRUE,TRUE,TRUE
A07,2,LOM,,TRUE,TRUE,TRUE
A07,2,LOM,,TRUE,TRUE,TRUE
A07,2,LOM,,TRUE,TRUE,TRUE
A07,3,LOM,79.65,TRUE,TRUE,TRUE
A07,4,LOM,36.75,TRUE,FALSE,FALSE
A07,5,LOM,80.12,TRUE,FALSE,FALSE
A07,6,LOM,66.01,TRUE,FALSE,FALSE
A07,7,LOM,79.75,TRUE,FALSE,FALSE
A07,8,LOM,81.31,TRUE,FALSE,FALSE
A07,8,LOM,81.31,TRUE,FALSE,FALSE
A07,8,LOM,81.31,TRUE,FALSE,FALSE
A09,1,LOM,68.17,TRUE,TRUE,TRUE
A09,2,LOM,29.99,TRUE,TRUE,TRUE
A09,3,LOM,62.26,TRUE,TRUE,TRUE
A09,3,LOM,,TRUE,TRUE,TRUE
A09,3,LOM,,TRUE,TRUE,TRUE
A09,4,LOM,29.84,TRUE,TRUE,TRUE
A09,5,LOM,,TRUE,TRUE,TRUE
A09,6,LOM,66.81,TRUE,FALSE,FALSE
A09,7,LOM,62.95,TRUE,FALSE,FALSE
A09,7,LOM,,TRUE,FALSE,FALSE
A09,7,LOM,,TRUE,FALSE,FALSE
A09,7,LOM,,TRUE,FALSE,FALSE
A09,7,LOM,,TRUE,FALSE,FALSE
A09,8,LOM,29.96,TRUE,FALSE,FALSE
A09,9,LOM,29.79,TRUE,FALSE,FALSE
A10,1,HOP,51.95,TRUE,TRUE,TRUE
A10,2,HOP,,TRUE,FALSE,FALSE
A10,2,HOP,,TRUE,FALSE,FALSE
A10,2,HOP,,TRUE,FALSE,FALSE
A10,2,HOP,,TRUE,FALSE,FALSE
A10,3,HOP,31.36,TRUE,FALSE,FALSE
A10,3,HOP,,TRUE,FALSE,FALSE
A10,4,HOP,52.04,TRUE,FALSE,FALSE
A10,4,HOP,,TRUE,FALSE,FALSE
A10,4,HOP,,TRUE,FALSE,FALSE
A10,5,HOP,31.65,TRUE,FALSE,FALSE
A10,5,HOP,,TRUE,FALSE,FALSE
A12,1,SOB,59.33,TRUE,TRUE,TRUE
A12,1,SOB,,TRUE,TRUE,TRUE
